date,price,anuradhapura_producer_price,kurunegala_producer_price,polonnaruwa_producer_price,production,production_total,exchange_rate,fuel_price,m0,m2,m1,m2b
1996-01-01,18.07,7.75,7.9,8.18,1333.6,2065.1,53.685,12.4,77071,228090,73783,260481
1996-02-01,18.7,8.17,8.26,8.76,1333.6,2065.1,53.685,12.4,79586,234199,77440,269496
1996-03-01,18.49,7.95,7.85,7.99,1333.6,2065.1,53.685,12.4,82915,239178,81796,272552
1996-04-01,18.52,8.25,8.01,8.29,1333.6,2065.1,54.735,12.4,80873,241893,79478,278425
1996-05-01,19.02,8.38,8.5,8.34,731.5,2065.1,54.95,12.4,83410,242072,76620,277365
1996-06-01,20.57,9.75,9.24,9.57,731.5,2065.1,55.505,12.4,79834,240407,75956,272313
1996-07-01,21.9,10.85,10.74,10.27,731.5,2065.1,55.12,12.4,80732,240083,76200,271915
1996-08-01,22.34,11.37,11.16,11.9,731.5,2065.1,55.6,12.4,81756,240097,76185,272932
1996-09-01,23.43,11.34,11.37,10.4,731.5,2065.1,56.6,13.2,81614,241700,76634,275074
1996-10-01,22.17,10.71,10.58,10.08,1333.6,2065.1,57.05,13.2,77209,242845,74004,275751
1996-11-01,22.89,11.48,11.15,11.2,1333.6,2065.1,56.63,13.2,81826,245227,75276,279260
1996-12-01,22.95,10.88,11.01,11.44,1333.6,2065.1,56.73,13.2,85509,253201,78203,288657
1997-01-01,22.27,9.92,10.05,11.17,1459.6,2243.3,57.69,13.2,81076,253157,77889,288640
1997-02-01,20.24,9.28,8.14,8.69,1459.6,2243.3,57.5,13.2,81795,254967,77597,291487
1997-03-01,18.71,8.48,7.86,9.8,1459.6,2243.3,58.33,13.2,71828,260657,80828,296908
1997-04-01,19.21,8.92,8.68,8.37,1459.6,2243.3,59.2,13.2,77056,261357,80582,297972
1997-05-01,20.65,9.27,9.13,8.8,783.7,2243.3,58.305,13.2,80255,262189,80240,299265
1997-06-01,20.5,8.93,8.78,8.88,783.7,2243.3,58.49,13.2,78342,265104,79670,302031
1997-07-01,20.94,9.5,9.41,9.67,783.7,2243.3,58.85,13.2,76110,267601,79535,307086
1997-08-01,21.92,10.48,9.91,10.81,783.7,2243.3,59.285,13.2,79612,271989,81068,311192
1997-09-01,23.23,11.27,10.35,10.67,783.7,2243.3,59.75,13.2,80221,276994,82287,317668
1997-10-01,24.08,12.15,11.69,12.39,1459.6,2243.3,59.775,13.2,81932,279577,83300,322404
1997-11-01,26.33,12.92,12.7,12.61,1459.6,2243.3,60.75,13.2,80359,281697,82708,323583
1997-12-01,26.55,11.3,11.69,11.29,1459.6,2243.3,61.75,13.2,83736,288258,85851,333668
1998-01-01,28.75,10.25,10.65,11.09,1784.2,2697,62.25,13.2,82146,289017,85527,335827
1998-02-01,31.47,8.12,8.27,7.98,1784.2,2697,61.675,13.2,84633,291450,87262,338718
1998-03-01,29.06,8.41,8.58,7.93,1784.2,2697,62.375,13.2,88608,297205,92195,343609
1998-04-01,28.24,8.43,8.52,8.33,1784.2,2697,63.305,13.2,86493,297152,90436,346676
1998-05-01,28.17,8.78,8.96,9.13,912.8,2697,65,13.2,88794,298472,91176,349938
1998-06-01,27.54,9.01,9.22,9.37,912.8,2697,65.4,13.2,85297,296943,90126,348566
1998-07-01,27.32,9.1,9.03,9.5,912.8,2697,65.925,13.2,88266,298677,92264,349416
1998-08-01,26.81,8.87,8.92,8.78,912.8,2697,66.525,13.2,88242,296505,91389,349499
