date,m0,m2,m1,m2b
1996-01-01,77071,228090,73783,260481
1996-02-01,79586,234199,77440,269496
1996-03-01,82915,239178,81796,272552
1996-04-01,80873,241893,79478,278425
1996-05-01,83410,242072,76620,277365
1996-06-01,79834,240407,75956,272313
1996-07-01,80732,240083,76200,271915
1996-08-01,81756,240097,76185,272932
1996-09-01,81614,241700,76634,275074
1996-10-01,77209,242845,74004,275751
1996-11-01,81826,245227,75276,279260
1996-12-01,85509,253201,78203,288657
1997-01-01,81076,253157,77889,288640
1997-02-01,81795,254967,77597,291487
1997-03-01,71828,260657,80828,296908
1997-04-01,77056,261357,80582,297972
1997-05-01,80255,262189,80240,299265
1997-06-01,78342,265104,79670,302031
1997-07-01,76110,267601,79535,307086
1997-08-01,79612,271989,81068,311192
1997-09-01,80221,276994,82287,317668
1997-10-01,81932,279577,83300,322404
1997-11-01,80359,281697,82708,323583
1997-12-01,83736,288258,85851,333668
1998-01-01,82146,289017,85527,335827
1998-02-01,84633,291450,87262,338718
1998-03-01,88608,297205,92195,343609
1998-04-01,86493,297152,90436,346676
1998-05-01,88794,298472,91176,349938
1998-06-01,85297,296943,90126,348566
1998-07-01,88266,298677,92264,349416
1998-08-01,88242,296505,91389,349499
1998-09-01,89761,301678,93463,355707
1998-10-01,88164,303514,92240,362633
1998-11-01,89287,306637,92975,366114
1998-12-01,92866,316174,96268,377740
1999-01-01,91959,317257,96525,380300
1999-02-01,94074,319410,97691,383478
1999-03-01,98074,324606,102616,390991
1999-04-01,96837,326329,103001,392015
1999-05-01,96809,327371,102311,397191
1999-06-01,93446,327709,99891,397566
1999-07-01,93498,330177,99941,402316
1999-08-01,94756,331125,99590,401415
1999-09-01,93053,337568,102070,408340
1999-10-01,94775,341900,100831,412128
1999-11-01,94799,350033,103749,419280
1999-12-01,100444,358076,108554,428319
2000-01-01,100639,359623,107630,432181
2000-02-01,98687,361256,106723,433556
2000-03-01,102943,366263,109780,441841
2000-04-01,102623,369479,109871,439970
2000-05-01,101353,365197,106417,435694
2000-06-01,101524,370625,108760,442827
2000-07-01,100403,373504,107910,445989
2000-08-01,94487,376499,108968,451219
2000-09-01,100936,383562,111689,457595
2000-10-01,101089,388701,112639,463256
2000-11-01,98875,387452,108961,465737
2000-12-01,105163,404669,118477,483421
2001-01-01,103452,398998,111712,486570
2001-02-01,101573,400994,111678,488924
2001-03-01,106331,403946,113931,493668
2001-04-01,104586,407081,114207,498984
2001-05-01,103145,406112,110163,498291
2001-06-01,103444,405506,108528,495731
2001-07-01,104408,410081,109097,502417
2001-08-01,104643,413279,109703,509820
2001-09-01,106927,421417,112095,515945
2001-10-01,105047,426318,111444,520332
2001-11-01,106713,435733,117102,532857
2001-12-01,112522,450726,122210,549138
2002-01-01,111022,451700,120103,550197
2002-02-01,108538,457016,121260,558563
2002-03-01,116958,466120,125695,570245
2002-04-01,118017,468666,124194,575041
2002-05-01,116343,470681,125987,577057
2002-06-01,118700,476295,125509,584335
2002-07-01,119940,481908,127946,589926
2002-08-01,120214,485384,129052,596324
2002-09-01,121716,488941,129430,601471
2002-10-01,120236,493671,129230,605384
2002-11-01,123286,499616,131785,614141
2002-12-01,126411,510395,139361,622495
2003-01-01,123527,512993,136034,629493
2003-02-01,127140,518190,137838,635737
2003-03-01,131778,524675,141204,643063
2003-04-01,128642,530354,143165,648591
2003-05-01,132421,532806,144004,651250
2003-06-01,130725,532767,142210,655004
2003-07-01,131026,539612,144341,660456
2003-08-01,135246,545485,149454,668743
2003-09-01,134600,555818,155687,678893
2003-10-01,137727,557139,151717,686860
2003-11-01,140990,568711,157420,700234
2003-12-01,141447,580747,161635,717855
2004-01-01,145881,588054,163127,724300
2004-02-01,146768,594925,166576,735103
2004-03-01,158659,606390,171889,746085
2004-04-01,153084,608238,169494,749310
2004-05-01,152185,613308,171846,754995
2004-06-01,151130,615485,169771,759795
2004-07-01,156319,624525,171918,776843
2004-08-01,155850,632862,173459,786021
2004-09-01,158241,645181,178058,801588
2004-10-01,161806,656918,175828,813574
2004-11-01,163922,672063,181761,834682
2004-12-01,170967,687964,188453,858644
2005-01-01,174648,701947,198719,867385
2005-02-01,174666,707352,198602,878200
2005-03-01,190755,721095,208095,891661
2005-04-01,181861,728312,207464,904952
2005-05-01,179195,729253,205017,901667
2005-06-01,179817,738411,208344,913159
2005-07-01,184647,749606,215078,928304
2005-08-01,184289,757307,212080,945538
2005-09-01,187894,775449,215253,959112
2005-10-01,191179,799305,224454,988773
2005-11-01,190969,812386,225571,1006356
2005-12-01,197932,822932,230701,1022277
2006-01-01,196864,834273,230043,1040545
2006-02-01,203030,849000,231308,1058934
2006-03-01,217168,862733,234175,1069380
2006-04-01,216094,878328,237973,1084657
2006-05-01,212027,876163,234021,1080177
2006-06-01,212419,887779,238143,1084834
2006-07-01,214845,895242,236884,1095047
2006-08-01,213895,906553,238622,1097188
2006-09-01,222140,919004,239524,1116228
2006-10-01,225513,952858,246313,1155303
2006-11-01,226627,968096,243016,1176370
2006-12-01,239863,993265,259685,1204550
2007-01-01,236782,996575,255347,1208103
2007-02-01,237920,1013891,259916,1234791
2007-03-01,252954,1032542,266769,1258542
2007-04-01,249337,1046388,264522,1266404
2007-05-01,246220,1050538,266944,1282269
2007-06-01,247846,1063012,259401,1294024
2007-07-01,247209,1068052,255239,1313001
2007-08-01,257064,1085288,261179,1340747
2007-09-01,256715,1097655,259971,1357400
2007-10-01,256519,1106357,254001,1357388
2007-11-01,264080,1132313,257159,1389855
2007-12-01,264419,1147742,266592,1404019
2008-01-01,260424,1144361,258270,1398625
2008-02-01,273009,1155185,266022,1406964
2008-03-01,276346,1188569,285805,1430467
2008-04-01,280201,1192361,272943,1455872
2008-05-01,277576,1187327,268166,1450693
2008-06-01,271212,1201992,273683,1470466
2008-07-01,281292,1220612,269278,1485699
2008-08-01,282576,1229068,270947,1478812
2008-09-01,280215,1248642,275192,1501518
2008-10-01,276103,1249205,266617,1489810
2008-11-01,253569,1253312,262239,1491131
2008-12-01,268425,1282194,277323,1522776
2009-01-01,263770,1288163,265615,1528254
2009-02-01,258097,1304602,265636,1546513
2009-03-01,266351,1324704,272881,1581580
2009-04-01,261177,1343535,270623,1605135
2009-05-01,268603,1360260,271730,1624257
2009-06-01,262561,1380978,268943,1645776
2009-07-01,275591,1411698,277090,1683066
2009-08-01,276597,1435550,285505,1702948
2009-09-01,274521,1461339,293275,1736020
2009-10-01,288830,1461345,294542,1755399
2009-11-01,288164,1497004,313531,1770460
2009-12-01,303537,1536755,336710,1806169
2010-01-01,309190,1551744,339755,1800606
2010-02-01,310809,1565387,340896,1814776
2010-03-01,328853,1600964,362752,1851671
2010-04-01,325005,1603310,351920,1868862
2010-05-01,330608,1622304,354591,1875268
2010-06-01,322907,1637897,348404,1881430
2010-07-01,331813,1650967,351176,1916382
2010-08-01,336798,1679210,361269,1939710
2010-09-01,338471,1718989,373834,1971923
2010-10-01,348435,1742357,380159,2007827
2010-11-01,344091,1763574,380660,2022307
2010-12-01,360511,1813000,407192,2091408
2011-01-01,362886,1832034,407798,2101055
2011-02-01,366084,1863092,415112,2136097
2011-03-01,382140,1899804,419143,2176199
2011-04-01,405455,1935747,423523,2212071
2011-05-01,400029,1957064,423226,2239036
2011-06-01,397194,1992455,420954,2270914
2011-07-01,413172,2025945,432965,2312285
2011-08-01,419937,2059413,436471,2339670
2011-09-01,422278,2091127,435365,2379865
2011-10-01,425459,2116658,434111,2404952
2011-11-01,420345,2139728,424687,2438668
2011-12-01,439504,2192603,438707,2491740
2012-01-01,434899,2216986,431680,2523084
2012-02-01,439407,2270720,436838,2604656
2012-03-01,471146,2321171,448621,2672827
2012-04-01,449307,2353485,444198,2719167
2012-05-01,449479,2351370,434873,2707159
2012-06-01,457526,2381343,432780,2737070
2012-07-01,463413,2410233,437864,2770897
2012-08-01,472950,2439377,438965,2813409
2012-09-01,473142,2455010,439753,2828651
2012-10-01,471116,2463316,425438,2842562
2012-11-01,476891,2529842,430017,2880657
2012-12-01,484362,2593185,450049,2929070
2013-01-01,484096,2627394,440600,2984632
2013-02-01,486728,2688229,447402,3048074
2013-03-01,512396,2749442,465413,3089746
2013-04-01,500288,2788337,453085,3132660
2013-05-01,507211,2799417,442608,3147469
2013-06-01,500301,2843835,444043,3169810
2013-07-01,456106,2875610,444753,3225521
2013-08-01,466584,2883490,453092,3244571
2013-09-01,465743,2937208,459839,3289132
2013-10-01,466852,3002427,481314,3362501
2013-11-01,471997,2997741,454372,3363136
2013-12-01,488586,3058793,484578,3417853
2014-01-01,485180,3094570,480883,3460812
2014-02-01,494615,3120241,491639,3495406
2014-03-01,521552,3165810,511410,3538065
2014-04-01,515339,3175119,507396,3546481
2014-05-01,499499,3178773,503931,3555525
2014-06-01,507667,3214316,519222,3592830
2014-07-01,524506,3230604,522223,3608028
2014-08-01,532055,3259844,540676,3642182
2014-09-01,536888,3316760,539970,3709641
2014-10-01,547674,3351268,546483,3747631
2014-11-01,551850,3398549,568263,3794824
2014-12-01,577912,3460558,612155,3875853
2015-01-01,576105,3467556,597195,3896007
2015-02-01,582954,3492559,596678,3926630
2015-03-01,619561,3553629,633325,3980651
2015-04-01,612655,3593405,630298,4038160
2015-05-01,589812,3641271,630804,4102788
2015-06-01,608045,3677478,629401,4141101
2015-07-01,630332,3732238,642058,4193878
2015-08-01,637227,3783870,649993,4252507
2015-09-01,640491,3821803,660445,4305003
2015-10-01,644414,3877680,665082,4384849
2015-11-01,651125,3945726,669427,4447629
2015-12-01,673432,4057212,714988,4565917
2016-01-01,718561,4102952,692391,4638282
2016-02-01,739336,4158410,700535,4703819
2016-03-01,791618,4206399,729606,4731636
2016-04-01,763102,4242061,715548,4772124
2016-05-01,733268,4241083,701828,4781197
2016-06-01,757159,4310482,705622,4843739
2016-07-01,774496,4394705,716583,4940432
2016-08-01,785691,4434839,714183,4988563
2016-09-01,793736,4551940,729323,5096238
2016-10-01,792756,4616764,727626,5165733
2016-11-01,798968,4683235,720203,5246721
2016-12-01,856147,4823559,776624,5405596
2017-01-01,828469,4866011,742851,5460428
2017-02-01,847628,4951313,744595,5551956
2017-03-01,892164,5096203,782025,5677402
2017-04-01,885560,5146804,765196,5730774
2017-05-01,859794,5214381,741781,5803167
2017-06-01,891639,5281417,753890,5872507
2017-07-01,894630,5367003,768428,5986619
2017-08-01,911389,5423037,759137,6050583
2017-09-01,909006,5503149,754618,6132134
2017-10-01,915381,5532506,743190,6159242
2017-11-01,911617,5549947,751291,6183942
2017-12-01,939793,5665313,793299,6308062
2018-01-01,929983,5739014,773416,6378367
2018-02-01,938134,5826696,770845,6450503
2018-03-01,997245,5995489,841180,6606647
2018-04-01,1000061,6043712,812548,6691730
2018-05-01,973369,6047725,790967,6670948
2018-06-01,998632,6120848,804512,6747648
2018-07-01,1001384,6160766,791771,6795382
2018-08-01,1004713,6243719,791554,6866413
2018-09-01,1010542,6284451,808988,6933397
2018-10-01,998428,6325970,782659,6988372
2018-11-01,941607,6355317,788820,7042629
2018-12-01,961096,6427330,830793,7128297
2019-01-01,949129,6419135,800491,7110926
2019-02-01,963038,6470529,806115,7188598
2019-03-01,962938,6550042,853568,7253305
2019-04-01,924229,6585519,828317,7295456
2019-05-01,849420,6621380,802208,7294763
2019-06-01,874533,6661231,803325,7337767
2019-07-01,888419,6697443,798746,7355431
2019-08-01,913418,6733743,818128,7396866
2019-09-01,914667,6761262,843070,7443491
2019-10-01,908358,6743725,810596,7456332
2019-11-01,918913,6790393,817647,7472812
2019-12-01,932604,6912710,865467,7624121
2020-01-01,935558,7001066,859032,7703776
2020-02-01,963283,7081611,866199,7793001
2020-03-01,1013797,7335948,964756,8098249
2020-04-01,1021589,7466098,992502,8258997
2020-05-01,996539,7523814,991778,8293120
2020-06-01,868953,7604127,1001851,8364748
2020-07-01,878832,7717772,1024589,8507393
2020-08-01,879828,7858436,1058461,8692021
2020-09-01,891389,8027070,1057364,8870430
2020-10-01,928388,8166461,1085734,9017480
2020-11-01,936257,8264614,1094981,9135635
2020-12-01,964440,8495788,1177150,9405734
2021-01-01,975897,8600019,1183134,9532697
2021-02-01,978090,8706198,1199944,9650906
2021-03-01,1028599,8860584,1232814,9838637
2021-04-01,1031144,8944644,1244200,9947334
2021-05-01,1036010,9016772,1246551,10032973
2021-06-01,1065064,9136220,1293330,10164763
2021-07-01,1063866,9269581,1316960,10303589
2021-08-01,1089266,9412401,1355196,10513644
2021-09-01,1295956,9448987,1318748,10488100
2021-10-01,1286441,9535950,1372671,10581730
2021-11-01,1287803,9510655,1355117,10545785
2021-12-01,1305809,9638905,1459895,10647309
2022-01-01,1337489,9650968,1500352,10667726
2022-02-01,1324234,9735818,1507095,10755111
2022-03-01,1386700,10073392,1589614,11575559
2022-04-01,1481805,10193426,1635133,11940608
2022-05-01,1414850,10117497,1603916,11896969
2022-06-01,1452596,10143626,1545475,11901351
2022-07-01,1436448,10253559,1564877,11955344
2022-08-01,1386248,10285938,1534114,11986911
2022-09-01,1378579,10351444,1528595,12051480
2022-10-01,1341681,10338384,1456688,12045719
2022-11-01,1318493,10416961,1457977,12162934
2022-12-01,1349389,10497052,1453597,12289637
