date,production,production_total
1996-01-01,1333.6,2065.1
1996-02-01,1333.6,2065.1
1996-03-01,1333.6,2065.1
1996-04-01,1333.6,2065.1
1996-05-01,731.5,2065.1
1996-06-01,731.5,2065.1
1996-07-01,731.5,2065.1
1996-08-01,731.5,2065.1
1996-09-01,731.5,2065.1
1996-10-01,1333.6,2065.1
1996-11-01,1333.6,2065.1
1996-12-01,1333.6,2065.1
1997-01-01,1459.6,2243.3
1997-02-01,1459.6,2243.3
1997-03-01,1459.6,2243.3
1997-04-01,1459.6,2243.3
1997-05-01,783.7,2243.3
1997-06-01,783.7,2243.3
1997-07-01,783.7,2243.3
1997-08-01,783.7,2243.3
1997-09-01,783.7,2243.3
1997-10-01,1459.6,2243.3
1997-11-01,1459.6,2243.3
1997-12-01,1459.6,2243.3
1998-01-01,1784.2,2697.0
1998-02-01,1784.2,2697.0
1998-03-01,1784.2,2697.0
1998-04-01,1784.2,2697.0
1998-05-01,912.8,2697.0
1998-06-01,912.8,2697.0
1998-07-01,912.8,2697.0
1998-08-01,912.8,2697.0
1998-09-01,912.8,2697.0
1998-10-01,1784.2,2697.0
1998-11-01,1784.2,2697.0
1998-12-01,1784.2,2697.0
1999-01-01,1738.8,2862.1
1999-02-01,1738.8,2862.1
1999-03-01,1738.8,2862.1
1999-04-01,1738.8,2862.1
1999-05-01,1123.3,2862.1
1999-06-01,1123.3,2862.1
1999-07-01,1123.3,2862.1
1999-08-01,1123.3,2862.1
1999-09-01,1123.3,2862.1
1999-10-01,1738.8,2862.1
1999-11-01,1738.8,2862.1
1999-12-01,1738.8,2862.1
2000-01-01,1781.2,2858.8
2000-02-01,1781.2,2858.8
2000-03-01,1781.2,2858.8
2000-04-01,1781.2,2858.8
2000-05-01,1077.6,2858.8
2000-06-01,1077.6,2858.8
2000-07-01,1077.6,2858.8
2000-08-01,1077.6,2858.8
2000-09-01,1077.6,2858.8
2000-10-01,1781.2,2858.8
2000-11-01,1781.2,2858.8
2000-12-01,1781.2,2858.8
2001-01-01,1614.0,2696.9
2001-02-01,1614.0,2696.9
2001-03-01,1614.0,2696.9
2001-04-01,1614.0,2696.9
2001-05-01,1083.0,2696.9
2001-06-01,1083.0,2696.9
2001-07-01,1083.0,2696.9
2001-08-01,1083.0,2696.9
2001-09-01,1083.0,2696.9
2001-10-01,1614.0,2696.9
2001-11-01,1614.0,2696.9
2001-12-01,1614.0,2696.9
2002-01-01,1774.5,2863.7
2002-02-01,1774.5,2863.7
2002-03-01,1774.5,2863.7
2002-04-01,1774.5,2863.7
2002-05-01,1089.1,2863.7
2002-06-01,1089.1,2863.7
2002-07-01,1089.1,2863.7
2002-08-01,1089.1,2863.7
2002-09-01,1089.1,2863.7
2002-10-01,1774.5,2863.7
2002-11-01,1774.5,2863.7
2002-12-01,1774.5,2863.7
2003-01-01,1896.8,3069.0
2003-02-01,1896.8,3069.0
2003-03-01,1896.8,3069.0
2003-04-01,1896.8,3069.0
2003-05-01,1172.2,3069.0
2003-06-01,1172.2,3069.0
2003-07-01,1172.2,3069.0
2003-08-01,1172.2,3069.0
2003-09-01,1172.2,3069.0
2003-10-01,1896.8,3069.0
2003-11-01,1896.8,3069.0
2003-12-01,1896.8,3069.0
2004-01-01,1669.7,2627.8
2004-02-01,1669.7,2627.8
2004-03-01,1669.7,2627.8
2004-04-01,1669.7,2627.8
2004-05-01,958.2,2627.8
2004-06-01,958.2,2627.8
2004-07-01,958.2,2627.8
2004-08-01,958.2,2627.8
2004-09-01,958.2,2627.8
2004-10-01,1669.7,2627.8
2004-11-01,1669.7,2627.8
2004-12-01,1669.7,2627.8
2005-01-01,2012.7,3246.2
2005-02-01,2012.7,3246.2
2005-03-01,2012.7,3246.2
2005-04-01,2012.7,3246.2
2005-05-01,1233.5,3246.2
2005-06-01,1233.5,3246.2
2005-07-01,1233.5,3246.2
2005-08-01,1233.5,3246.2
2005-09-01,1233.5,3246.2
2005-10-01,2012.7,3246.2
2005-11-01,2012.7,3246.2
2005-12-01,2012.7,3246.2
2006-01-01,2135.6,3341.9
2006-02-01,2135.6,3341.9
2006-03-01,2135.6,3341.9
2006-04-01,2135.6,3341.9
