date,price
1996-01-01,18.07
1996-02-01,18.7
1996-03-01,18.49
1996-04-01,18.52
1996-05-01,19.02
1996-06-01,20.57
1996-07-01,21.9
1996-08-01,22.34
1996-09-01,23.43
1996-10-01,22.17
1996-11-01,22.89
1996-12-01,22.95
1997-01-01,22.27
1997-02-01,20.24
1997-03-01,18.71
1997-04-01,19.21
1997-05-01,20.65
1997-06-01,20.5
1997-07-01,20.94
1997-08-01,21.92
1997-09-01,23.23
1997-10-01,24.08
1997-11-01,26.33
1997-12-01,26.55
1998-01-01,28.75
1998-02-01,31.47
1998-03-01,29.06
1998-04-01,28.24
1998-05-01,28.17
1998-06-01,27.54
1998-07-01,27.32
1998-08-01,26.81
1998-09-01,26.41
1998-10-01,26.75
1998-11-01,26.71
1998-12-01,27.36
1999-01-01,28.75
1999-02-01,31.47
1999-03-01,29.06
1999-04-01,28.24
1999-05-01,28.17
1999-06-01,27.54
1999-07-01,27.32
1999-08-01,26.81
1999-09-01,26.41
1999-10-01,26.75
1999-11-01,26.71
1999-12-01,27.36
2000-01-01,26.94
2000-02-01,25.0
2000-03-01,23.09
2000-04-01,22.13
2000-05-01,21.71
2000-06-01,21.2
2000-07-01,20.61
2000-08-01,21.68
2000-09-01,22.56
2000-10-01,22.18
2000-11-01,24.16
2000-12-01,25.36
2001-01-01,26.3
2001-02-01,26.62
2001-03-01,25.27
2001-04-01,25.19
2001-05-01,25.59
2001-06-01,25.47
2001-07-01,26.08
2001-08-01,26.61
2001-09-01,26.81
2001-10-01,26.96
2001-11-01,28.57
2001-12-01,31.05
2002-01-01,33.52
2002-02-01,34.74
2002-03-01,31.38
2002-04-01,28.8
2002-05-01,29.0
2002-06-01,28.95
2002-07-01,28.59
2002-08-01,28.21
2002-09-01,28.0
2002-10-01,28.34
2002-11-01,28.74
2002-12-01,29.3
2003-01-01,30.41
2003-02-01,29.7
2003-03-01,27.74
2003-04-01,27.02
2003-05-01,27.0
2003-06-01,28.18
2003-07-01,27.21
2003-08-01,26.69
2003-09-01,26.76
2003-10-01,26.85
2003-11-01,29.52
2003-12-01,31.61
2004-01-01,32.33
2004-02-01,33.19
2004-03-01,32.03
2004-04-01,32.44
2004-05-01,33.64
2004-06-01,33.69
2004-07-01,34.82
2004-08-01,35.25
2004-09-01,36.47
2004-10-01,36.66
2004-11-01,39.07
2004-12-01,38.37
2005-01-01,38.49
2005-02-01,35.92
2005-03-01,31.81
2005-04-01,31.28
2005-05-01,30.67
2005-06-01,30.59
2005-07-01,29.47
2005-08-01,29.01
2005-09-01,29.66
2005-10-01,29.8
2005-11-01,31.77
2005-12-01,35.24
