Date,Price,Anuradhapura_Producer_Price,Kurunegala_Producer_Price,Polonnaruwa_Producer_Price,Producer_Price,Production,Production (Total),Exchange_Rate
1996-01-01,18.07,7.75,7.9,8.18,8.18,1333.6,2065.1,53.685
1996-02-01,18.7,8.17,8.26,8.76,8.76,1333.6,2065.1,53.685
1996-03-01,18.49,7.95,7.85,7.99,7.99,1333.6,2065.1,53.685
1996-04-01,18.52,8.25,8.01,8.29,8.29,1333.6,2065.1,54.735
1996-05-01,19.02,8.38,8.5,8.34,8.34,731.5,2065.1,54.95
1996-06-01,20.57,9.75,9.24,9.57,9.57,731.5,2065.1,55.505
1996-07-01,21.9,10.85,10.74,10.27,10.27,731.5,2065.1,55.12
1996-08-01,22.34,11.37,11.16,11.9,11.9,731.5,2065.1,55.6
1996-09-01,23.43,11.34,11.37,10.4,10.4,731.5,2065.1,56.6
1996-10-01,22.17,10.71,10.58,10.08,10.08,1333.6,2065.1,57.05
1996-11-01,22.89,11.48,11.15,11.2,11.2,1333.6,2065.1,56.63
1996-12-01,22.95,10.88,11.01,11.44,11.44,1333.6,2065.1,56.73
1997-01-01,22.27,9.92,10.05,11.17,11.17,1459.6,2243.3,57.69
1997-02-01,20.24,9.28,8.14,8.69,8.69,1459.6,2243.3,57.5
1997-03-01,18.71,8.48,7.86,9.8,9.8,1459.6,2243.3,58.33
1997-04-01,19.21,8.92,8.68,8.37,8.37,1459.6,2243.3,59.2
1997-05-01,20.65,9.27,9.13,8.8,8.8,783.7,2243.3,58.305
1997-06-01,20.5,8.93,8.78,8.88,8.88,783.7,2243.3,58.49
1997-07-01,20.94,9.5,9.41,9.67,9.67,783.7,2243.3,58.85
1997-08-01,21.92,10.48,9.91,10.81,10.81,783.7,2243.3,59.285
1997-09-01,23.23,11.27,10.35,10.67,10.67,783.7,2243.3,59.75
1997-10-01,24.08,12.15,11.69,12.39,12.39,1459.6,2243.3,59.775
1997-11-01,26.33,12.92,12.7,12.61,12.61,1459.6,2243.3,60.75
1997-12-01,26.55,11.3,11.69,11.29,11.29,1459.6,2243.3,61.75
1998-01-01,28.75,10.25,10.65,11.09,11.09,1784.2,2697.0,62.25
1998-02-01,31.47,8.12,8.27,7.98,7.98,1784.2,2697.0,61.675
1998-03-01,29.06,8.41,8.58,7.93,7.93,1784.2,2697.0,62.375
1998-04-01,28.24,8.43,8.52,8.33,8.33,1784.2,2697.0,63.305
1998-05-01,28.17,8.78,8.96,9.13,9.13,912.8,2697.0,65.0
1998-06-01,27.54,9.01,9.22,9.37,9.37,912.8,2697.0,65.4
1998-07-01,27.32,9.1,9.03,9.5,9.5,912.8,2697.0,65.925
1998-08-01,26.81,8.87,8.92,8.78,8.78,912.8,2697.0,66.525
1998-09-01,26.41,8.46,8.19,8.58,8.58,912.8,2697.0,65.985
1998-10-01,26.75,9.09,9.01,9.77,9.77,1784.2,2697.0,67.075
1998-11-01,26.71,10.12,9.87,10.36,10.36,1784.2,2697.0,67.9
1998-12-01,27.36,10.93,10.53,12.27,12.27,1784.2,2697.0,68.43
1999-01-01,28.75,12.52,13.2,14.22,14.22,1738.8,2862.1,68.825
1999-02-01,31.47,11.81,12.41,11.98,11.98,1738.8,2862.1,69.53
1999-03-01,29.06,10.37,10.37,10.51,10.51,1738.8,2862.1,69.425
1999-04-01,28.24,11.8,11.43,11.63,11.63,1738.8,2862.1,69.625
1999-05-01,28.17,12.07,12.45,12.86,12.86,1123.3,2862.1,70.85
1999-06-01,27.54,12.21,12.08,12.8,12.8,1123.3,2862.1,71.55
1999-07-01,27.32,12.35,12.53,13.19,13.19,1123.3,2862.1,71.6
1999-08-01,26.81,11.84,11.55,11.78,11.78,1123.3,2862.1,71.8
1999-09-01,26.41,12.03,11.83,11.86,11.86,1123.3,2862.1,71.73
1999-10-01,26.75,11.84,11.76,12.23,12.23,1738.8,2862.1,71.55
1999-11-01,26.71,10.98,11.72,11.95,11.95,1738.8,2862.1,72.1
1999-12-01,27.36,12.49,12.43,12.65,12.65,1738.8,2862.1,71.5
2000-01-01,26.94,12.13,11.59,11.53,11.53,1781.2,2858.8,73.15
2000-02-01,25.0,9.24,8.86,9.88,9.88,1781.2,2858.8,73.475
2000-03-01,23.09,8.35,7.81,8.19,8.19,1781.2,2858.8,73.75
2000-04-01,22.13,8.52,8.35,8.09,8.09,1781.2,2858.8,74.3
2000-05-01,21.71,8.68,8.42,8.04,8.04,1077.6,2858.8,74.735
2000-06-01,21.2,8.39,8.21,7.87,7.87,1077.6,2858.8,78.9
2000-07-01,20.61,8.22,8.06,8.08,8.08,1077.6,2858.8,78.35
2000-08-01,21.68,9.0,8.63,9.32,9.32,1077.6,2858.8,78.05
2000-09-01,22.56,9.66,9.18,9.36,9.36,1077.6,2858.8,79.15
2000-10-01,22.18,9.74,8.74,9.88,9.88,1781.2,2858.8,79.41
2000-11-01,24.16,11.43,10.71,11.98,11.98,1781.2,2858.8,81.45
2000-12-01,25.36,12.56,12.33,11.57,11.57,1781.2,2858.8,82.7
2001-01-01,26.3,12.25,11.8,12.75,12.75,1614.0,2696.9,89.5
2001-02-01,26.62,12.6,11.14,13.31,13.31,1614.0,2696.9,86.5
2001-03-01,25.27,10.81,10.59,10.2,10.2,1614.0,2696.9,86.35
2001-04-01,25.19,10.1,10.2,9.82,9.82,1614.0,2696.9,90.45
2001-05-01,25.59,10.31,10.4,10.65,10.65,1083.0,2696.9,91.825
2001-06-01,25.47,10.83,10.75,11.16,11.16,1083.0,2696.9,90.625
2001-07-01,26.08,11.76,11.73,12.73,12.73,1083.0,2696.9,89.9
2001-08-01,26.61,12.36,12.51,12.83,12.83,1083.0,2696.9,89.875
2001-09-01,26.81,12.06,11.61,11.36,11.36,1083.0,2696.9,90.05
2001-10-01,26.96,12.54,11.75,12.22,12.22,1614.0,2696.9,91.75
2001-11-01,28.57,13.5,12.94,13.75,13.75,1614.0,2696.9,93.15
2001-12-01,31.05,13.78,13.63,14.21,14.21,1614.0,2696.9,93.0
2002-01-01,33.52,15.55,14.82,17.48,17.48,1774.5,2863.7,93.45
2002-02-01,34.74,14.56,15.65,17.06,17.06,1774.5,2863.7,93.6
2002-03-01,31.38,13.56,11.56,12.27,12.27,1774.5,2863.7,95.6
2002-04-01,28.8,13.08,11.97,12.53,12.53,1774.5,2863.7,96.05
2002-05-01,29.0,13.25,12.47,12.76,12.76,1089.1,2863.7,96.15
2002-06-01,28.95,13.28,12.97,12.83,12.83,1089.1,2863.7,96.15
2002-07-01,28.59,12.6,12.02,12.12,12.12,1089.1,2863.7,96.08
2002-08-01,28.21,12.75,11.84,12.56,12.56,1089.1,2863.7,96.2
2002-09-01,28.0,11.85,11.53,11.82,11.82,1089.1,2863.7,96.25
2002-10-01,28.34,12.91,12.24,12.56,12.56,1774.5,2863.7,96.25
2002-11-01,28.74,13.58,13.25,12.95,12.95,1774.5,2863.7,96.275
2002-12-01,29.3,14.35,13.42,14.29,14.29,1774.5,2863.7,96.6
2003-01-01,30.41,13.63,13.02,13.27,13.27,1896.8,3069.0,96.8
2003-02-01,29.7,11.5,12.0,12.67,12.67,1896.8,3069.0,96.89
2003-03-01,27.74,11.55,12.03,10.99,10.99,1896.8,3069.0,96.945
2003-04-01,27.02,11.08,12.08,11.21,11.21,1896.8,3069.0,97.13
2003-05-01,27.0,11.35,11.4,11.47,11.47,1172.2,3069.0,97.23
2003-06-01,28.18,12.58,12.09,11.34,11.34,1172.2,3069.0,97.155
2003-07-01,27.21,11.5,11.74,11.13,11.13,1172.2,3069.0,97.14
2003-08-01,26.69,10.79,11.21,11.08,11.08,1172.2,3069.0,96.83
2003-09-01,26.76,11.38,12.03,10.94,10.94,1172.2,3069.0,94.36
2003-10-01,26.85,11.88,12.28,11.8,11.8,1896.8,3069.0,94.76
2003-11-01,29.52,13.75,14.86,13.17,13.17,1896.8,3069.0,96.425
2003-12-01,31.61,15.0,14.89,13.77,13.77,1896.8,3069.0,96.55
2004-01-01,32.33,15.54,17.56,14.9,14.9,1669.7,2627.8,97.28
2004-02-01,33.19,15.44,15.04,14.82,14.82,1669.7,2627.8,98.585
2004-03-01,32.03,14.23,13.78,13.84,13.84,1669.7,2627.8,97.6
2004-04-01,32.44,14.63,15.06,13.94,13.94,1669.7,2627.8,98.3
2004-05-01,33.64,14.75,15.23,14.07,14.07,958.2,2627.8,99.2
2004-06-01,33.69,14.94,15.4,14.76,14.76,958.2,2627.8,102.35
2004-07-01,34.82,16.63,16.11,15.33,15.33,958.2,2627.8,103.625
2004-08-01,35.25,17.48,17.46,16.11,16.11,958.2,2627.8,103.125
2004-09-01,36.47,17.94,18.82,16.61,16.61,958.2,2627.8,103.58
2004-10-01,36.66,17.0,18.74,16.62,16.62,1669.7,2627.8,104.15
2004-11-01,39.07,16.986666666666668,20.44,16.483333333333334,16.483333333333334,1669.7,2627.8,104.825
2004-12-01,38.37,16.973333333333333,18.47,16.346666666666668,16.346666666666668,1669.7,2627.8,104.475
2005-01-01,38.49,16.96,17.64,16.21,16.21,2012.7,3246.2,99.05
2005-02-01,35.92,12.44,13.91,12.63,12.63,2012.7,3246.2,99.5
2005-03-01,31.81,12.75,13.26,13.34,13.34,2012.7,3246.2,99.7
2005-04-01,31.28,13.25,12.75,13.81,13.81,2012.7,3246.2,99.775
2005-05-01,30.67,12.58,12.57,13.78,13.78,1233.5,3246.2,99.925
2005-06-01,30.59,12.29,12.55,12.88,12.88,1233.5,3246.2,100.15
2005-07-01,29.47,11.56,11.51,13.035,13.035,1233.5,3246.2,100.7
2005-08-01,29.01,11.43,11.87,13.190000000000001,13.190000000000001,1233.5,3246.2,101.25
2005-09-01,29.66,12.13,13.07,13.345,13.345,1233.5,3246.2,101.33
2005-10-01,29.8,12.31,13.91,13.5,13.5,2012.7,3246.2,101.88
2005-11-01,31.77,14.08,14.8,14.13,14.13,2012.7,3246.2,102.0
2005-12-01,35.24,14.38,14.82,15.33,15.33,2012.7,3246.2,102.11
2006-01-01,34.07,12.87,12.66,13.72,13.72,2135.6,3341.9,102.12
2006-02-01,31.86,11.42,12.01,10.97,10.97,2135.6,3341.9,102.58
2006-03-01,29.26,10.81,11.17,10.63,10.63,2135.6,3341.9,102.575
2006-04-01,29.72,11.05,11.5,11.86,11.86,2135.6,3341.9,102.8
2006-05-01,29.91,11.06,11.64,11.48,11.48,1206.3,3341.9,103.0
2006-06-01,30.47,11.98,12.71,11.97,11.97,1206.3,3341.9,103.97
2006-07-01,30.88,12.47,12.41,12.64,12.64,1206.3,3341.9,103.97
2006-08-01,30.1,12.46,12.26,11.93,11.93,1206.3,3341.9,102.19
2006-09-01,31.34,13.29,13.21,13.23,13.23,1206.3,3341.9,103.76
2006-10-01,31.75,13.21,13.44,13.21,13.21,2135.6,3341.9,108.025
2006-11-01,33.42,13.68,14.32,13.18,13.18,2135.6,3341.9,108.1
2006-12-01,36.31,14.71,15.24,15.76,15.76,2135.6,3341.9,107.45
2007-01-01,37.04,15.21,14.98,15.26,15.26,1973.1,3131.3,108.58
2007-02-01,38.04,14.38,14.56,15.15,15.15,1973.1,3131.3,108.79
2007-03-01,36.12,12.06,12.62,13.0,13.0,1973.1,3131.3,108.65
2007-04-01,35.03,13.0,13.15,13.47,13.47,1973.1,3131.3,110.6
2007-05-01,37.24,14.84,15.79,15.32,15.32,1158.2,3131.3,110.87
2007-06-01,37.79,15.96,16.58,16.73,16.73,1158.2,3131.3,111.385
2007-07-01,38.37,17.03,18.33,18.24,18.24,1158.2,3131.3,111.78
2007-08-01,39.37,17.46,18.38,18.42,18.42,1158.2,3131.3,113.025
2007-09-01,39.92,17.67,17.44,16.78,16.78,1158.2,3131.3,113.44
