,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,7.75,9.92,10.25,12.52,12.13,12.25,15.55,13.63,15.54,16.96,12.87,15.21,32.13,34.04,35.79,26.6,28.33,33.25,35.38,42.75,34.05,51.24,39.9,39.03,45.77,,85.72
February,8.17,9.28,8.12,11.81,9.24,12.6,14.56,11.5,15.44,12.44,11.42,14.38,23.67,30.75,30.38,28.03,23.59,28.4,33.63,32.88,26.25,43.99,38.13,32.86,42.19,,86.65
March,7.95,8.48,8.41,10.37,8.35,10.81,13.56,11.55,14.23,12.75,10.81,12.06,24.79,27,25.95,27.16,22.75,25.5,33.6,34.7,26.95,41.51,40.31,35.25,44.15,,100.15
April,8.25,8.92,8.43,11.8,8.52,10.1,13.08,11.08,14.63,13.25,11.05,13,28.17,26.54,25.7,27.5,22.44,24.5,37.25,33.56,32.15,45.62,40.32,40.09,,54,110.7
May,8.38,9.27,8.78,12.07,8.68,10.31,13.25,11.35,14.75,12.58,11.06,14.84,30.5,29.46,26.35,28.93,23.33,28.19,37.5,31.5,33.84,49.28,41.01,41.71,,55.9,111.72
June,9.75,8.93,9.01,12.21,8.39,10.83,13.28,12.58,14.94,12.29,11.98,15.96,30.29,30.4,24,28.56,24.41,28.5,39.3,31.13,33.35,50.25,37.8,40.24,,57,131.55
July,10.85,9.5,9.1,12.35,8.22,11.76,12.6,11.5,16.63,11.56,12.47,17.03,26.38,29.29,22.78,26.75,27.53,26.1,39.75,25.61,31.63,50.36,36.6,42.46,48.5,51.24,124.15
August,11.37,10.48,8.87,11.84,9,12.36,12.75,10.79,17.48,11.43,12.46,17.46,28.62,30.17,20.31,23.85,27.2,25.42,40.5,28.59,32.04,50.61,37.6,43.58,46.46,50.9,112.6
September,11.34,11.27,8.46,12.03,9.66,12.06,11.85,11.38,17.94,12.13,13.29,17.67,26.43,31.6,23.06,23.38,28.93,26.37,40.18,30.05,32.7,50.87,37.94,45.5,,56,110.5
October,10.71,12.15,9.09,11.84,9.74,12.54,12.91,11.88,17,12.31,13.21,18.93,28.25,33.79,25.25,27.55,31.4,29.42,42,32.35,38.8,51.77,41.54,49.98,,65.55,105.48
November,11.48,12.92,10.12,10.98,11.43,13.5,13.58,13.75,,14.08,13.68,26.59,33.25,35.14,28.98,29.47,31.91,30.92,43.75,35.3,43.15,53,43.51,52.11,,71.76,98.4
December,10.88,11.3,10.93,12.49,12.56,13.78,14.35,15,,14.38,14.71,27.8,34.9,35.28,27.34,29.97,33.38,33.33,45.5,35,47.45,54,43.84,54.57,,72,98.15
AVERAGE,9.74,10.2,9.13,11.86,9.66,11.91,13.44,12.16,15.86,13.01,12.42,17.58,28.95,31.12,26.32,27.31,27.1,28.32,39.03,32.79,34.36,49.37,39.88,43.11,45.41,59.37,108.19
