,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,7.9,10.05,10.65,13.2,11.59,11.8,14.82,13.02,17.56,17.64,12.66,14.98,35.04,37.42,37.35,27.49,28.57,34.5,35.42,42.48,32.73,,43.917,40.458,48.615,53.25,83.38
February,8.26,8.14,8.27,12.41,8.86,11.14,15.65,12,15.04,13.91,12.01,14.56,27.34,35.41,32.53,30.44,24.39,30.39,31.84,32.03,27.76,,38.583,30.708,44.25,46.563,79.688
March,7.85,7.86,8.58,10.37,7.81,10.59,11.56,12.03,13.78,13.26,11.17,12.62,29.12,28.85,27.01,29.79,23.37,23.55,34.57,33.38,23.2,,42.375,34.042,46.833,48.667,100.767
April,8.01,8.68,8.52,11.43,8.35,10.2,11.97,12.08,15.06,12.75,11.5,13.15,33.96,28.65,26.81,30.04,23.18,28.45,37.24,34.56,33.1,,45.5,41.967,,51.917,112.988
May,8.5,9.13,8.96,12.45,8.42,10.4,12.47,11.4,15.23,12.57,11.64,15.79,33.78,32.52,27.88,30.41,23.3,32.86,37.33,34.9,35.52,,38.267,44.208,50.411,55,115.9
June,9.24,8.78,9.22,12.08,8.21,10.75,12.97,12.09,15.4,12.55,12.71,16.58,32.64,32.58,24.59,29.32,25.41,30.53,40.23,35.1,35.3,50.667,39.75,41.858,52.26,55.5,141.95
July,10.74,9.41,9.03,12.53,8.06,11.73,12.02,11.74,16.11,11.51,12.41,18.33,27.93,30.93,24.41,28.01,31,28.67,40.73,30.6,32.9,50.13,36.467,42.05,48.7,50.917,126.988
August,11.16,9.91,8.92,11.55,8.63,12.51,11.84,11.21,17.46,11.87,12.26,18.38,29.56,31.5,20.5,24.21,30.23,26.28,41.42,28.6,31.26,51,35.667,43.6,46.34,51.292,113.863
September,11.37,10.35,8.19,11.83,9.18,11.61,11.53,12.03,18.82,13.07,13.21,17.44,28.97,32.49,25.23,23.91,31.49,27.45,41.42,31.6,31.55,46.75,33.467,,,49.625,108.008
October,10.58,11.69,9.01,11.76,8.74,11.75,12.24,12.28,18.74,13.91,13.44,19.33,34.45,34.04,25.77,27.77,33.73,31.97,42.59,31.9,37.4,50.833,37.907,49.708,51,63.692,106.74
November,11.15,12.7,9.87,11.72,10.71,12.94,13.25,14.86,20.44,14.8,14.32,28.52,35.59,35.72,28.95,29.92,35.1,34.51,42.63,34.75,,54,41.167,51.25,53,72.96,101.9
December,11.01,11.69,10.53,12.43,12.33,13.63,13.42,14.89,18.47,14.82,15.24,28.94,36.27,36.48,27.85,29.82,35.1,36.44,42.96,33.92,,54.917,46.667,53.45,55.667,77.563,101.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE,9.65,9.87,9.15,11.98,9.24,11.59,12.81,12.14,16.84,13.04,12.71,18.22,32.05,33.05,27.41,28.43,28.74,30.47,39.03,33.65,32.07,51.19,39.98,43.03,49.71,56.41,109.28
