Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1996,18.07,18.7,18.49,18.52,19.02,20.57,21.9,22.34,23.43,22.17,22.89,22.95
1997,22.27,20.24,18.71,19.21,20.65,20.5,20.94,21.92,23.23,24.08,26.33,26.55
1998,28.75,31.47,29.06,28.24,28.17,27.54,27.32,26.81,26.41,26.75,26.71,27.36
1999,28.75,31.47,29.06,28.24,28.17,27.54,27.32,26.81,26.41,26.75,26.71,27.36
2000,26.94,25,23.09,22.13,21.71,21.2,20.61,21.68,22.56,22.18,24.16,25.36
2001,26.3,26.62,25.27,25.19,25.59,25.47,26.08,26.61,26.81,26.96,28.57,31.05
2002,33.52,34.74,31.38,28.8,29,28.95,28.59,28.21,28,28.34,28.74,29.3
2003,30.41,29.7,27.74,27.02,27,28.18,27.21,26.69,26.76,26.85,29.52,31.61
2004,32.33,33.19,32.03,32.44,33.64,33.69,34.82,35.25,36.47,36.66,39.07,38.37
2005,38.49,35.92,31.81,31.28,30.67,30.59,29.47,29.01,29.66,29.8,31.77,35.24
2006,34.07,31.86,29.26,29.72,29.91,30.47,30.88,30.1,31.34,31.75,33.42,36.31
2007,37.04,38.04,36.12,35.03,37.24,37.79,38.37,39.37,39.92,41.63,53.6,56.83
2008,66.37,64.01,65.98,71.48,66.56,66.75,65.69,63.38,63.52,64.88,66.37,67.48
2009,68.76,68.18,63.58,61.17,62.41,63.21,62.8,62.76,62.9,63.53,65.51,72.01
2010,77.38,75.42,63.12,59.03,58.14,56.84,55.73,54.74,53.46,55.57,60.35,62.18
2011,60.95,63.03,62.6,62.35,62.33,62.26,61.88,60.83,58.39,58.78,60.51,62.54
2012,61.54,59.53,58.66,57.64,57.07,58.04,59.48,58.91,61.44,61.98,62.72,63.58
2013,63.81,63.15,62.88,63.3,63.64,63.01,62.92,62.61,62.69,63.29,64.65,66.34
2014,68.09,69.91,70.27,72.99,74.74,75.8,77.74,79.79,85.46,86.74,88.83,88.31
2015,88.05,85.41,81.34,79.12,78.49,76.38,75.01,72.59,73.31,73.89,77.35,78.5
2016,77.95,76.67,75.75,76.16,77.85,77.9,77.43,76.19,76.49,79.15,83.92,91.29
2017,96.09,95.8,85.58,87.81,90.29,95.48,96.01,95.76,98.19,101.84,104.78,103.61
2018,101.72,96.29,94.49,96.13,100.09,97.27,94.48,92.09,91.46,91.97,89.27,89.9
2019,93,91.33,91.36,88.48,90.15,88.56,87.99,89.06,92.08,96.74,99.21,103.29
2020,94.66,98,98,,96,100.19,98.97,99.16,99.85,,,
2021,110.93,107.15,108.65,113.84,117.56,127.5,121.77,119.95,110.22,124.68,139.03,138.5
2022,158.14,161.16,173.79,211.24,217.29,247.14,250.07,239.24,228.44,224.78,222.28,218.2
