,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,8.18,11.17,11.09,14.22,11.53,12.75,17.48,13.27,14.9,16.21,13.72,15.26,32.93,34.5,37.6,27.17,28.74,33.6,36.37,,36.83,50.34,45.95,,49.47,55.92,87.75
February,8.76,8.69,7.98,11.98,9.88,13.31,17.06,12.67,14.82,12.63,10.97,15.15,26.39,28.55,29.99,28.89,22.9,26.18,33.99,35.17,29.99,41.22,35.81,30.94,43.3,45.5,91.56
March,7.99,9.8,7.93,10.51,8.19,10.2,12.27,10.99,13.84,13.34,10.63,13,26.89,27.62,24.46,27.68,22.53,25.47,34.63,36.99,28.09,40.92,42.56,35.62,45.05,50.07,108.81
April,8.29,8.37,8.33,11.63,8.09,9.82,12.53,11.21,13.94,13.81,11.86,13.47,29.94,27.82,25.03,28.26,22.44,27,36.84,31.15,33.38,43.82,41.19,40.13,,60.25,117.5
May,8.34,8.8,9.13,12.86,8.04,10.65,12.76,11.47,14.07,13.78,11.48,15.32,32.47,31.55,25.94,28.52,23.33,29.54,39.1,32.39,35.67,50.34,41.56,43.92,54,63.58,117.35
June,9.57,8.88,9.37,12.8,7.87,11.16,12.83,11.34,14.76,12.88,11.97,16.73,31.72,31.42,23.13,27.93,24.41,28.43,41.58,32.56,34.88,52.45,,41.41,53.75,57.25,138.2
July,10.27,9.67,9.5,13.19,8.08,12.73,12.12,11.13,15.33,,12.64,18.24,27.6,29.64,22.78,26.5,24.3,27.14,40.85,31.83,32.58,49.77,,42.74,45.73,47.75,130.5
August,11.9,10.81,8.78,11.78,9.32,12.83,12.56,11.08,16.11,,11.93,18.42,30.43,30.45,19.28,23.42,26.27,26.28,42.01,28.31,32.02,46.72,,,45.52,52.73,122.93
September,10.4,10.67,8.58,11.86,9.36,11.36,11.82,10.94,16.61,,13.23,16.78,29.22,30.88,24.28,23.33,29.98,27.24,44.92,28.06,34.35,48.34,40,49.63,,60.4,117
October,10.08,12.39,9.77,12.23,9.88,12.22,12.56,11.8,16.62,13.5,13.21,18.95,33.3,33,26.13,26.77,33.38,31,,30.17,39.79,54.5,42.47,51.31,,70.08,109.5
November,11.2,12.61,10.36,11.95,11.98,13.75,12.95,13.17,,14.13,13.18,26.64,34.03,34.54,29.04,29.38,34.74,33.98,,37.15,43.58,54.67,44.27,51.48,,75.33,103.48
December,11.44,11.29,12.27,12.65,11.57,14.21,14.29,13.77,,15.33,15.76,28.1,36.14,36.6,27.92,30.05,33.16,36.27,,38.37,48.63,54.66,,54.53,,81.23,102.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE,9.7,10.26,9.42,12.31,9.48,12.08,13.43,11.9,15.1,13.96,12.55,18,30.92,31.38,26.3,27.32,27.18,29.34,38.92,32.92,35.81,48.98,41.73,44.17,48.12,60.01,114.62
