,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,7.75,9.92,10.25,12.52,12.13,12.25,15.55,13.63,15.54,16.96,12.87,15.21,32.13,34.04,35.79,26.60,28.33,33.25,35.38,42.75,34.05,51.24,39.90,39.03,45.77,,85.72
February,8.17,9.28,8.12,11.81,9.24,12.60,14.56,11.50,15.44,12.44,11.42,14.38,23.67,30.75,30.38,28.03,23.59,28.40,33.63,32.88,26.25,43.99,38.13,32.86,42.19,,86.65
March,7.95,8.48,8.41,10.37,8.35,10.81,13.56,11.55,14.23,12.75,10.81,12.06,24.79,27.00,25.95,27.16,22.75,25.50,33.60,34.70,26.95,41.51,40.31,35.25,44.15,,100.15
April,8.25,8.92,8.43,11.80,8.52,10.10,13.08,11.08,14.63,13.25,11.05,13.00,28.17,26.54,25.70,27.50,22.44,24.50,37.25,33.56,32.15,45.62,40.32,40.09,,54.00,110.70
May,8.38,9.27,8.78,12.07,8.68,10.31,13.25,11.35,14.75,12.58,11.06,14.84,30.50,29.46,26.35,28.93,23.33,28.19,37.50,31.50,33.84,49.28,41.01,41.71,,55.90,111.72
June,9.75,8.93,9.01,12.21,8.39,10.83,13.28,12.58,14.94,12.29,11.98,15.96,30.29,30.40,24.00,28.56,24.41,28.50,39.30,31.13,33.35,50.25,37.80,40.24,,57.00,131.55
July,10.85,9.50,9.10,12.35,8.22,11.76,12.60,11.50,16.63,11.56,12.47,17.03,26.38,29.29,22.78,26.75,27.53,26.10,39.75,25.61,31.63,50.36,36.60,42.46,48.50,51.24,124.15
August,11.37,10.48,8.87,11.84,9.00,12.36,12.75,10.79,17.48,11.43,12.46,17.46,28.62,30.17,20.31,23.85,27.20,25.42,40.50,28.59,32.04,50.61,37.60,43.58,46.46,50.90,112.60
September,11.34,11.27,8.46,12.03,9.66,12.06,11.85,11.38,17.94,12.13,13.29,17.67,26.43,31.60,23.06,23.38,28.93,26.37,40.18,30.05,32.70,50.87,37.94,45.50,,56.00,110.50
October,10.71,12.15,9.09,11.84,9.74,12.54,12.91,11.88,17.00,12.31,13.21,18.93,28.25,33.79,25.25,27.55,31.40,29.42,42.00,32.35,38.80,51.77,41.54,49.98,,65.55,
November,11.48,12.92,10.12,10.98,11.43,13.50,13.58,13.75,,14.08,13.68,26.59,33.25,35.14,28.98,29.47,31.91,30.92,43.75,35.30,43.15,53.00,43.51,52.11,,71.76,
December,10.88,11.30,10.93,12.49,12.56,13.78,14.35,15.00,,14.38,14.71,27.80,34.90,35.28,27.34,29.97,33.38,33.33,45.50,35.00,47.45,54.00,43.84,54.57,,72.00,
AVERAGE,9.74,10.20,9.13,11.86,9.66,11.91,13.44,12.16,15.86,13.01,12.42,17.58,28.95,31.12,26.32,27.31,27.10,28.32,39.03,32.79,34.36,49.37,39.88,43.11,45.41,59.37,108.19
