"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","366.000","364.000","368.500","360.500","","-0.41%"
"01/01/2023","367.500","367.500","369.000","360.500","","0.00%"
"12/01/2022","367.500","368.500","370.380","362.000","","-0.27%"
"11/01/2022","368.500","365.500","370.500","360.500","","1.52%"
"10/01/2022","363.000","365.495","370.635","355.780","","-0.68%"
"09/01/2022","365.500","359.985","369.050","354.120","","2.13%"
"08/01/2022","357.880","358.995","369.135","354.420","","0.25%"
"07/01/2022","357.000","357.995","368.385","353.700","","0.28%"
"06/01/2022","356.000","359.995","366.740","353.840","","-1.11%"
"05/01/2022","360.000","354.995","377.000","351.060","","1.41%"
"04/01/2022","355.000","293.995","357.130","291.720","","20.75%"
"03/01/2022","294.000","201.990","301.065","200.600","","46.33%"
"02/01/2022","200.920","202.400","203.910","201.120","","-0.14%"
"01/01/2022","201.200","201.500","203.880","201.160","","-0.76%"
"12/01/2021","202.750","202.000","202.875","201.500","","0.12%"
"11/01/2021","202.500","202.000","202.750","201.000","","1.25%"
"10/01/2021","200.000","200.000","202.750","199.475","","0.50%"
"09/01/2021","199.000","199.750","201.500","198.950","","0.00%"
"08/01/2021","199.000","199.500","200.500","199.000","","0.00%"
"07/01/2021","199.000","199.500","200.000","198.000","","0.00%"
"06/01/2021","199.000","197.000","199.500","197.000","","1.02%"
"05/01/2021","197.000","196.500","198.750","195.000","","0.00%"
"04/01/2021","197.000","200.000","204.000","189.000","","-0.76%"
"03/01/2021","198.500","194.000","201.000","194.000","","2.32%"
"02/01/2021","194.000","191.250","198.250","190.750","","1.84%"
"01/01/2021","190.500","185.500","198.250","185.250","","2.97%"
"12/01/2020","185.000","185.650","190.500","185.150","","-0.27%"
"11/01/2020","185.500","184.225","186.150","184.225","","0.68%"
"10/01/2020","184.250","184.850","184.975","184.060","","-0.35%"
"09/01/2020","184.900","185.900","186.250","184.000","","-0.48%"
"08/01/2020","185.800","185.675","187.000","182.350","","0.13%"
"07/01/2020","185.550","186.150","186.325","185.315","","-0.32%"
"06/01/2020","186.150","186.150","186.950","184.900","","-0.03%"
"05/01/2020","186.200","190.500","191.000","184.625","","-2.00%"
"04/01/2020","190.000","189.250","195.000","188.500","","0.53%"
"03/01/2020","189.000","181.875","189.250","181.700","","3.93%"
"02/01/2020","181.850","181.425","182.025","181.300","","0.28%"
"01/01/2020","181.350","181.500","181.725","180.800","","0.03%"
"12/01/2019","181.300","180.930","181.825","180.350","","0.25%"
"11/01/2019","180.850","181.225","181.850","179.000","","-0.11%"
"10/01/2019","181.050","182.075","182.550","180.250","","-0.52%"
"09/01/2019","182.000","179.375","182.175","179.050","","1.56%"
"08/01/2019","179.200","176.375","181.150","176.300","","1.64%"
"07/01/2019","176.300","176.425","176.600","175.250","","-0.06%"
"06/01/2019","176.400","176.550","177.050","176.050","","0.11%"
