Date,Maha,Yala,Total
1996,1333.6,731.5,2065.1
1997,1459.6,783.7,2243.3
1998,1784.2,912.8,2697
1999,1738.8,1123.3,2862.1
2000,1781.2,1077.6,2858.8
2001,1614,1083,2696.9
2002,1774.5,1089.1,2863.7
2003,1896.8,1172.2,3069
2004,1669.7,958.2,2627.8
2005,2012.7,1233.5,3246.2
2006,2135.6,1206.3,3341.9
2007,1973.1,1158.2,3131.3
2008,2126,1750.4,3876.4
2009,2384,1267.7,3651.7
2010,2629.6,1671.1,4300.6
2011,1996.2,1898,3894.2
2012,2717,1129,3845.9
2013,2846.3,1774.5,4620.7
2014,2235.9,1144.9,3380.8
2015,2877,1942.4,4819.4
2016,2902.69,1517.39,4420.09
2017,1473.83,909.32,2383.15
2018,2396.93,1532.91,3929.83
2019,3072.58,1519.48,4592.06
2020,3196.75,1924.17,5120.92
2021,3061.39,2088.2,5149.6
2022,1931.2,1461.675,3392.875
