Month,Actuals,TFT,TFT (Without External Regressors),SARIMAX,ARIMAX,SARIMA,ARIMA
1/1/2019,93,90.93,100.13,88.90,87.63,90.10,89.92
1/2/2019,91.33,90.17,99.80,86.45,84.41,89.26,90.11
1/3/2019,91.36,91.13,99.51,85.71,84.67,86.82,89.87
1/4/2019,88.48,92.68,99.18,88.73,87.77,86.77,89.60
1/5/2019,90.15,93.25,98.75,90.84,89.52,87.15,89.30
1/6/2019,88.56,92.55,98.15,89.80,88.23,87.01,89.04
1/7/2019,87.99,91.14,97.55,90.84,88.84,86.54,88.81
1/8/2019,89.06,88.85,97.10,91.40,89.56,85.79,88.58
1/9/2019,92.08,88.19,96.85,92.79,90.47,86.13,88.36
1/10/2019,96.74,92.74,96.79,94.88,92.39,86.76,88.13
1/11/2019,99.21,97.87,97.03,95.92,92.62,88.16,87.90
1/12/2019,103.29,103.00,97.31,97.61,92.76,89.25,87.68
